id_venta,id_modelo,id_concesionaria,id_fecha,precio_usd,unidades_vendidas,ingresos_usd,costo_produccion_usd,ganancia_usd,participacion_mercado_pct,discontinuar_modelo
104,7,2,104,41566,233,9684878,33000,1995878,1,no
105,9,2,105,48628,191,9287948,36000,2411948,10,no
106,5,1,106,27027,208,5621616,21500,1149616,3,no
107,3,1,107,15153,59,894027,11000,245027,7,si
108,3,1,108,14687,120,1762440,11000,442440,9,si
109,4,1,109,24458,279,6823782,19000,1522782,15,no
110,6,2,110,16350,121,1978350,12500,465850,7,si
111,7,2,111,42764,231,9878484,33000,2255484,15,no
112,1,1,112,32801,251,8233051,27000,1456051,4,no
113,5,1,113,27526,211,5807986,21500,1271486,7,no
114,1,2,114,35810,261,9346410,27000,2299410,15,no
115,4,1,115,27117,280,7592760,19000,2272760,10,no
116,5,1,116,29100,277,8060700,21500,2105200,1,no
117,5,1,117,29607,186,5506902,21500,1507902,11,no
118,9,2,118,43860,247,10833420,36000,1941420,6,no
119,1,1,119,35464,295,10461880,27000,2496880,13,no
120,6,1,120,16351,200,3270200,12500,770200,8,no
121,6,1,121,16473,158,2602734,12500,627734,8,no
122,7,2,122,40943,175,7165025,33000,1390025,4,no
123,8,1,123,25615,145,3714175,20000,814175,10,no
124,4,1,124,25245,205,5175225,19000,1280225,4,no
125,6,2,125,15981,129,2061549,12500,449049,3,si
126,5,2,126,28961,233,6747913,21500,1738413,12,no
127,1,1,127,37645,266,10013570,27000,2831570,8,no
128,3,1,128,14275,57,813675,11000,186675,3,si
129,8,2,129,25199,237,5972163,20000,1232163,11,no
130,9,2,130,47763,251,11988513,36000,2952513,9,no
131,7,2,131,43015,297,12775455,33000,2974455,4,no
132,6,2,132,16081,129,2074449,12500,461949,3,si
133,1,2,133,34280,300,10284000,27000,2184000,11,no
134,1,2,134,32238,220,7092360,27000,1152360,13,no
135,4,1,135,24397,164,4001108,19000,885108,15,no
136,6,1,136,16234,142,2305228,12500,530228,5,no
137,3,1,137,15425,76,1172300,11000,336300,11,si
138,9,1,138,48405,261,12633705,36000,3237705,12,no
139,2,1,139,19971,170,3395070,15500,760070,9,no
140,7,2,140,43282,251,10863782,33000,2580782,6,no
141,5,2,141,26502,258,6837516,21500,1290516,10,no
142,8,2,142,27827,146,4062742,20000,1142742,15,no
143,9,2,143,51930,283,14696190,36000,4508190,4,no
144,9,1,144,47716,241,11499556,36000,2823556,11,no
145,1,2,145,32354,294,9512076,27000,1574076,12,no
146,6,1,146,16459,127,2090293,12500,502793,11,no
147,2,2,147,21705,209,4536345,15500,1296845,12,no
148,2,1,148,19205,149,2861545,15500,552045,3,no
149,9,1,149,48911,170,8314870,36000,2194870,10,no
150,4,2,150,25747,177,4557219,19000,1194219,7,no
151,2,2,151,21452,184,3947168,15500,1095168,6,no
152,8,2,152,27381,223,6105963,20000,1645963,9,no
153,3,2,153,14995,108,1619460,11000,431460,4,si
154,4,1,154,23334,156,3640104,19000,676104,3,no
155,3,2,155,13501,96,1296096,11000,240096,5,si
156,3,2,156,15784,77,1215368,11000,368368,1,si
157,5,2,157,26279,214,5623706,21500,1022706,6,no
158,4,1,158,24552,253,6211656,19000,1404656,1,no
159,6,1,159,18591,174,3234834,12500,1059834,12,no
160,6,1,160,16273,212,3449876,12500,799876,1,no
161,7,1,161,43337,192,8320704,33000,1984704,4,no
162,9,2,162,51367,271,13920457,36000,4164457,5,no
163,1,2,163,37917,302,11450934,27000,3296934,3,no
164,6,1,164,15698,121,1899458,12500,386958,12,si
165,8,1,165,24591,142,3491922,20000,651922,3,no
166,1,1,166,37916,207,7848612,27000,2259612,4,no
167,2,2,167,22299,173,3857727,15500,1176227,3,no
168,4,2,168,25564,185,4729340,19000,1214340,15,no
169,4,2,169,24820,160,3971200,19000,931200,13,no
170,7,2,170,38704,250,9676000,33000,1426000,9,no
171,2,2,171,21151,209,4420559,15500,1181059,1,no
172,3,2,172,15482,61,944402,11000,273402,10,si
173,9,2,173,51355,205,10527775,36000,3147775,14,no
174,1,1,174,33794,214,7231916,27000,1453916,7,no
175,2,1,175,21014,151,3173114,15500,832614,12,no
176,2,1,176,20964,217,4549188,15500,1185688,6,no
177,6,2,177,16217,219,3551523,12500,814023,1,no
178,7,1,178,42119,247,10403393,33000,2252393,1,no
179,3,1,179,14358,70,1005060,11000,235060,14,si
180,9,2,180,49594,237,11753778,36000,3221778,7,no
181,9,2,181,42544,168,7147392,36000,1099392,3,no
182,6,1,182,16350,120,1962000,12500,462000,10,si
183,4,2,183,27254,182,4960228,19000,1502228,12,no
184,5,1,184,30944,280,8664320,21500,2644320,8,no
185,7,2,185,42357,233,9869181,33000,2180181,8,no
186,4,1,186,24054,151,3632154,19000,763154,1,no
187,5,2,187,26737,198,5293926,21500,1036926,9,no
188,3,2,188,13385,75,1003875,11000,178875,10,si
189,5,2,189,28130,236,6638680,21500,1564680,9,no
190,7,2,190,44299,236,10454564,33000,2666564,5,no
191,9,2,191,47485,245,11633825,36000,2813825,15,no
192,4,1,192,27028,166,4486648,19000,1332648,9,no
193,2,2,193,21214,163,3457882,15500,931382,9,no
194,5,1,194,27759,193,5357487,21500,1207987,2,no
195,1,2,195,37234,285,10611690,27000,2916690,9,no
196,1,1,196,32407,333,10791531,27000,1800531,7,no
197,6,2,197,15207,184,2798088,12500,498088,1,si
198,8,1,198,26063,178,4639214,20000,1079214,6,no
199,5,2,199,27843,206,5735658,21500,1306658,14,no
200,9,1,200,48962,165,8078730,36000,2138730,10,no
201,5,2,201,28706,215,6171790,21500,1549290,10,no
202,5,1,202,29800,278,8284400,21500,2307400,1,no
203,8,2,203,25135,146,3669710,20000,749710,14,no
204,5,2,204,30908,307,9488756,21500,2888256,9,no
205,5,1,205,27954,267,7463718,21500,1723218,1,no
206,9,1,206,43130,179,7720270,36000,1276270,10,no
207,3,1,207,13543,101,1367843,11000,256843,11,si
208,9,1,208,42206,174,7343844,36000,1079844,3,no
209,7,1,209,40037,202,8087474,33000,1421474,15,no
210,1,2,210,33523,296,9922808,27000,1930808,9,no
211,2,2,211,20623,216,4454568,15500,1106568,9,no
212,9,1,212,45141,243,10969263,36000,2221263,2,no
213,1,2,213,35311,255,9004305,27000,2119305,7,no
214,3,2,214,14754,112,1652448,11000,420448,11,si
215,2,1,215,20386,177,3608322,15500,864822,13,no
216,5,2,216,30212,296,8942752,21500,2578752,2,no
217,7,2,217,40849,284,11601116,33000,2229116,12,no
218,8,2,218,27551,222,6116322,20000,1676322,10,no
219,7,2,219,43605,188,8197740,33000,1993740,14,no
220,1,1,220,33361,211,7039171,27000,1342171,5,no
221,3,1,221,15341,102,1564782,11000,442782,2,si
222,5,1,222,26083,183,4773189,21500,838689,10,no
223,5,1,223,28263,262,7404906,21500,1771906,13,no
224,7,1,224,45034,194,8736596,33000,2334596,15,no
225,3,1,225,15715,58,911470,11000,273470,7,si
226,6,2,226,16339,167,2728613,12500,641113,3,no
227,1,2,227,32821,218,7154978,27000,1268978,14,no
228,7,2,228,43173,192,8289216,33000,1953216,10,no
229,2,2,229,20713,174,3604062,15500,907062,14,no
230,7,1,230,39094,294,11493636,33000,1791636,1,no
231,1,1,231,37691,234,8819694,27000,2501694,6,no
232,2,1,232,22704,146,3314784,15500,1051784,11,no
233,4,1,233,27108,176,4771008,19000,1427008,6,no
234,1,2,234,33483,312,10446696,27000,2022696,1,no
235,5,2,31,27917,200,5583400,21500,1283400,11,no
236,1,1,235,36762,319,11727078,27000,3114078,3,no
237,1,1,236,37460,245,9177700,27000,2562700,1,no
238,5,2,237,30642,234,7170228,21500,2139228,4,no
239,4,2,238,24768,177,4383936,19000,1020936,3,no
240,8,1,239,27158,227,6164866,20000,1624866,12,no
241,2,2,240,19043,223,4246589,15500,790089,4,no
242,1,1,241,33262,217,7217854,27000,1358854,10,no
243,6,1,242,18507,176,3257232,12500,1057232,3,no
244,7,1,243,39964,272,10870208,33000,1894208,2,no
245,8,2,244,26943,152,4095336,20000,1055336,6,no
246,9,1,245,44624,255,11379120,36000,2199120,4,no
247,1,2,246,33632,221,7432672,27000,1465672,3,no
248,1,2,247,36095,308,11117260,27000,2801260,8,no
249,8,2,248,24171,226,5462646,20000,942646,13,no
250,7,1,249,41312,232,9584384,33000,1928384,9,no
251,6,1,250,17029,138,2350002,12500,625002,13,no
252,6,2,251,15957,173,2760561,12500,598061,2,no
253,5,1,252,29962,265,7939930,21500,2242430,6,no
254,9,1,253,50206,202,10141612,36000,2869612,5,no
255,4,2,254,23929,248,5934392,19000,1222392,8,no
256,1,2,255,36423,310,11291130,27000,2921130,15,no
257,5,2,256,26908,190,5112520,21500,1027520,15,no
258,5,1,257,26365,228,6011220,21500,1109220,9,no
259,8,2,258,27631,195,5388045,20000,1488045,14,no
260,4,1,259,24463,186,4550118,19000,1016118,3,no
261,2,2,260,21864,193,4219752,15500,1228252,3,no
262,9,2,261,47872,274,13116928,36000,3252928,15,no
263,1,2,262,33458,300,10037400,27000,1937400,5,no
264,1,2,263,34243,324,11094732,27000,2346732,11,no
265,9,2,264,50879,287,14602273,36000,4270273,9,no
266,5,1,265,29901,315,9418815,21500,2646315,1,no
267,8,2,266,27896,202,5634992,20000,1594992,2,no
268,9,1,267,42855,229,9813795,36000,1569795,6,no
269,8,1,268,28173,179,5042967,20000,1462967,6,no
270,8,1,269,24578,214,5259692,20000,979692,11,no
271,5,2,270,27410,249,6825090,21500,1471590,12,no
272,9,1,271,46437,225,10448325,36000,2348325,3,no
273,6,1,272,15448,144,2224512,12500,424512,15,si
274,4,1,273,23116,233,5386028,19000,959028,13,no
275,8,1,274,26129,231,6035799,20000,1415799,11,no
276,3,1,275,14239,95,1352705,11000,307705,11,si
277,3,1,276,14852,77,1143604,11000,296604,12,si
278,2,2,277,22205,237,5262585,15500,1589085,12,no
279,2,2,278,22222,151,3355522,15500,1015022,8,no
280,4,1,279,25251,188,4747188,19000,1175188,12,no
281,7,2,280,39696,176,6986496,33000,1178496,9,no
282,8,2,281,27258,257,7005306,20000,1865306,7,no
283,1,2,282,32078,279,8949762,27000,1416762,3,no
284,5,2,283,29909,185,5533165,21500,1555665,5,no
285,2,2,284,22337,181,4042997,15500,1237497,7,no
286,1,1,285,34771,326,11335346,27000,2533346,12,no
287,7,2,286,41392,277,11465584,33000,2324584,5,no
288,4,2,287,26388,188,4960944,19000,1388944,6,no
289,6,1,288,18818,138,2596884,12500,871884,8,no
290,8,1,289,26102,233,6081766,20000,1421766,4,no
291,2,2,290,22250,218,4850500,15500,1471500,15,no
292,7,1,291,44060,215,9472900,33000,2377900,2,no
293,3,2,292,14545,78,1134510,11000,276510,14,si
294,5,1,293,28095,199,5590905,21500,1312405,1,no
295,2,2,294,22311,133,2967363,15500,905863,2,no
296,5,2,295,26414,303,8003442,21500,1488942,7,no
297,2,2,296,19460,162,3152520,15500,641520,9,no
298,9,1,297,43594,175,7628950,36000,1328950,6,no
299,4,1,298,24794,202,5008388,19000,1170388,1,no
300,8,1,299,25192,229,5768968,20000,1188968,13,no
301,7,2,300,43975,226,9938350,33000,2480350,6,no
302,2,2,301,20276,170,3446920,15500,811920,2,no
303,7,2,249,41645,170,7079650,33000,1469650,7,no
304,5,2,302,27210,191,5197110,21500,1090610,4,no
305,6,1,303,17853,131,2338743,12500,701243,2,no
306,6,2,304,16131,167,2693877,12500,606377,9,no
307,1,2,305,32680,325,10621000,27000,1846000,14,no
308,5,1,306,30520,241,7355320,21500,2173820,7,no
309,7,2,307,45744,222,10155168,33000,2829168,15,no
310,5,1,308,26248,292,7664416,21500,1386416,12,no
311,2,1,309,21883,221,4836143,15500,1410643,11,no
312,5,2,310,28153,286,8051758,21500,1902758,2,no
313,6,1,311,16816,185,3110960,12500,798460,2,no
314,6,2,256,16883,154,2599982,12500,674982,5,no
315,5,1,312,30614,227,6949378,21500,2068878,10,no
316,9,2,313,51513,258,13290354,36000,4002354,8,no
317,3,2,314,14725,120,1767000,11000,447000,8,si
318,8,2,315,26028,232,6038496,20000,1398496,11,no
319,4,2,316,25592,219,5604648,19000,1443648,8,no
320,3,1,317,14236,104,1480544,11000,336544,2,si
321,1,2,318,34188,290,9914520,27000,2084520,11,no
322,9,2,319,44688,210,9384480,36000,1824480,4,no
323,1,2,320,35050,212,7430600,27000,1706600,6,no
324,6,1,321,18540,188,3485520,12500,1135520,13,no
325,6,1,322,18592,189,3513888,12500,1151388,11,no
326,2,2,323,21198,195,4133610,15500,1111110,4,no
327,5,2,324,27975,315,8812125,21500,2039625,11,no
328,9,2,325,43888,250,10972000,36000,1972000,3,no
329,4,2,326,25558,166,4242628,19000,1088628,1,no
330,5,2,327,27240,212,5774880,21500,1216880,9,no
331,4,1,328,25513,243,6199659,19000,1582659,8,no
332,9,2,329,44146,189,8343594,36000,1539594,12,no
333,1,1,330,35469,209,7413021,27000,1770021,14,no
334,8,1,331,25643,260,6667180,20000,1467180,8,no
335,4,1,332,25853,197,5093041,19000,1350041,12,no
336,5,2,333,29951,196,5870396,21500,1656396,9,no
337,9,1,334,44107,177,7806939,36000,1434939,15,no
338,4,1,335,23121,249,5757129,19000,1026129,1,no
339,5,1,336,30649,273,8367177,21500,2497677,11,no
340,1,1,337,35939,247,8876933,27000,2207933,1,no
341,4,2,338,25861,153,3956733,19000,1049733,12,no
342,9,1,339,48293,205,9900065,36000,2520065,5,no
343,1,2,340,34270,313,10726510,27000,2275510,10,no
344,7,2,341,40736,224,9124864,33000,1732864,8,no
345,1,2,342,34248,230,7877040,27000,1667040,14,no
346,4,1,343,25250,272,6868000,19000,1700000,10,no
347,8,2,344,26826,195,5231070,20000,1331070,14,no
348,5,1,345,28242,277,7823034,21500,1867534,8,no
349,8,2,346,28211,206,5811466,20000,1691466,14,no
350,3,1,347,15801,118,1864518,11000,566518,8,no
351,5,1,348,30186,203,6127758,21500,1763258,13,no
352,3,2,349,14477,69,998913,11000,239913,14,si
353,3,2,350,13098,110,1440780,11000,230780,15,si
354,7,2,351,41870,282,11807340,33000,2501340,7,no
355,8,1,352,25945,226,5863570,20000,1343570,5,no
356,6,2,353,18685,214,3998590,12500,1323590,13,no
357,7,2,354,44305,173,7664765,33000,1955765,9,no
358,6,2,355,15244,163,2484772,12500,447272,7,si
359,8,1,356,27950,242,6763900,20000,1923900,11,no
360,1,1,357,33137,273,9046401,27000,1675401,7,no
361,5,2,358,30184,274,8270416,21500,2379416,10,no
362,6,1,359,18768,211,3960048,12500,1322548,5,no
363,7,2,360,38453,177,6806181,33000,965181,13,no
364,9,1,361,43156,194,8372264,36000,1388264,9,no
365,1,2,362,37689,224,8442336,27000,2394336,7,no
366,6,1,363,15740,151,2376740,12500,489240,9,si
367,8,2,364,24901,251,6250151,20000,1230151,13,no
368,7,1,365,45887,247,11334089,33000,3183089,12,no
369,7,1,366,38931,268,10433508,33000,1589508,6,no
370,5,2,367,29565,289,8544285,21500,2330785,3,no
371,4,2,368,24446,210,5133660,19000,1143660,4,no
372,9,1,369,43450,193,8385850,36000,1437850,11,no
373,1,1,370,35591,253,9004523,27000,2173523,12,no
374,8,2,371,25129,140,3518060,20000,718060,13,no
375,2,1,372,19882,212,4214984,15500,928984,9,no
376,2,2,373,20238,155,3136890,15500,734390,7,no
377,6,1,374,18311,128,2343808,12500,743808,14,no
378,9,1,375,48819,187,9129153,36000,2397153,10,no
379,9,2,376,43020,210,9034200,36000,1474200,14,no
380,1,2,377,36251,302,10947802,27000,2793802,8,no
381,1,1,378,32144,320,10286080,27000,1646080,3,no
382,9,2,379,42951,186,7988886,36000,1292886,11,no
383,8,2,380,28090,161,4522490,20000,1302490,15,no
384,4,1,381,23363,248,5794024,19000,1082024,9,no
385,5,2,382,26043,309,8047287,21500,1403787,3,no
386,8,2,383,26647,260,6928220,20000,1728220,14,no
387,4,2,384,23740,276,6552240,19000,1308240,7,no
388,7,2,385,45978,235,10804830,33000,3049830,5,no
389,4,2,386,26758,200,5351600,19000,1551600,11,no
390,1,1,387,34307,246,8439522,27000,1797522,1,no
391,1,1,388,35939,350,12578650,27000,3128650,14,no
392,8,2,389,27410,234,6413940,20000,1733940,6,no
393,4,2,390,24205,169,4090645,19000,879645,12,no
394,1,1,391,33846,226,7649196,27000,1547196,9,no
395,2,1,392,21648,201,4351248,15500,1235748,11,no
396,1,1,393,35163,333,11709279,27000,2718279,1,no
397,5,2,394,29484,264,7783776,21500,2107776,12,no
398,2,1,395,20587,220,4529140,15500,1119140,4,no
399,5,2,396,26893,268,7207324,21500,1445324,6,no
400,6,2,397,17376,155,2693280,12500,755780,2,no
401,5,2,398,27940,233,6510020,21500,1500520,12,no
402,7,1,399,42522,188,7994136,33000,1790136,12,no
403,6,1,400,16541,207,3423987,12500,836487,14,no
404,9,2,401,45272,242,10955824,36000,2243824,14,no
405,8,2,402,26001,198,5148198,20000,1188198,9,no
406,5,2,403,29181,221,6449001,21500,1697501,4,no
407,7,2,404,45842,197,9030874,33000,2529874,9,no
408,9,2,405,47742,174,8307108,36000,2043108,4,no
409,5,1,406,29001,251,7279251,21500,1882751,11,no
410,6,2,407,17394,194,3374436,12500,949436,4,no
411,5,2,408,29442,249,7331058,21500,1977558,8,no
412,2,1,409,21491,208,4470128,15500,1246128,11,no
413,6,1,410,18832,154,2900128,12500,975128,10,no
414,6,1,411,17019,137,2331603,12500,619103,4,no
415,7,1,412,43999,197,8667803,33000,2166803,7,no
416,6,2,413,15627,219,3422313,12500,684813,13,no
417,8,2,414,28395,228,6474060,20000,1914060,13,no
418,5,2,415,28587,223,6374901,21500,1580401,12,no
419,9,1,416,50072,186,9313392,36000,2617392,4,no
420,1,2,417,33379,213,7109727,27000,1358727,11,no
421,6,2,418,17242,124,2138008,12500,588008,1,no
422,7,2,419,38437,217,8340829,33000,1179829,7,no
423,5,2,420,27535,293,8067755,21500,1768255,1,no
424,6,2,421,15231,144,2193264,12500,393264,13,si
425,1,1,422,37119,222,8240418,27000,2246418,10,no
426,5,2,423,28302,308,8717016,21500,2095016,14,no
427,7,1,424,44118,215,9485370,33000,2390370,4,no
428,8,2,425,26360,240,6326400,20000,1526400,3,no
429,9,2,426,45910,242,11110220,36000,2398220,4,no
430,3,1,427,13818,80,1105440,11000,225440,12,si
431,7,2,428,41769,295,12321855,33000,2586855,12,no
432,4,2,429,23718,247,5858346,19000,1165346,8,no
433,1,1,430,34827,335,11667045,27000,2622045,4,no
434,4,2,431,23824,158,3764192,19000,762192,4,no
435,3,1,432,15752,72,1134144,11000,342144,12,si
436,3,2,433,13416,82,1100112,11000,198112,4,si
437,9,1,434,44155,220,9714100,36000,1794100,11,no
438,2,1,435,20585,220,4528700,15500,1118700,11,no
439,4,2,436,24265,232,5629480,19000,1221480,13,no
440,6,2,437,18586,156,2899416,12500,949416,8,no
441,7,1,438,42100,274,11535400,33000,2493400,9,no
442,7,2,439,43272,180,7788960,33000,1848960,6,no
443,1,2,440,35387,291,10297617,27000,2440617,14,no
444,1,2,441,35843,280,10036040,27000,2476040,5,no
445,7,1,442,38728,294,11386032,33000,1684032,14,no
446,5,1,443,26187,273,7149051,21500,1279551,9,no
447,9,2,444,45243,283,12803769,36000,2615769,14,no
448,8,2,445,24650,242,5965300,20000,1125300,8,no
449,4,2,446,23500,267,6274500,19000,1201500,14,no
450,5,1,447,30522,187,5707614,21500,1687114,6,no
451,3,2,448,13512,103,1391736,11000,258736,13,si
452,5,1,279,26605,222,5906310,21500,1133310,1,no
453,1,1,449,35056,278,9745568,27000,2239568,12,no
454,9,2,450,48110,208,10006880,36000,2518880,5,no
455,4,2,451,27446,264,7245744,19000,2229744,5,no
456,3,1,452,13823,81,1119663,11000,228663,1,si
457,1,1,453,37923,265,10049595,27000,2894595,9,no
458,5,1,454,27199,259,7044541,21500,1476041,8,no
459,4,2,455,24393,232,5659176,19000,1251176,13,no
460,2,1,456,20669,183,3782427,15500,945927,6,no
461,6,2,457,16797,141,2368377,12500,605877,1,no
462,9,2,458,49057,271,13294447,36000,3538447,6,no
463,3,2,459,13790,62,854980,11000,172980,14,si
464,9,2,460,43143,243,10483749,36000,1735749,10,no
465,8,1,461,28281,216,6108696,20000,1788696,15,no
466,4,1,462,27222,270,7349940,19000,2219940,6,no
467,5,1,463,26899,196,5272204,21500,1058204,11,no
468,5,1,464,30938,261,8074818,21500,2463318,7,no
469,1,1,465,34471,268,9238228,27000,2002228,14,no
470,4,1,466,24844,238,5912872,19000,1390872,9,no
471,4,2,467,26502,215,5697930,19000,1612930,8,no
472,2,1,468,20815,225,4683375,15500,1195875,7,no
473,4,1,469,25933,182,4719806,19000,1261806,13,no
474,8,2,470,24683,252,6220116,20000,1180116,12,no
475,9,2,471,49733,217,10792061,36000,2980061,5,no
476,4,1,472,23067,236,5443812,19000,959812,2,no
477,2,1,473,21108,178,3757224,15500,998224,2,no
478,8,1,474,26595,169,4494555,20000,1114555,14,no
479,9,2,475,49517,201,9952917,36000,2716917,1,no
480,3,2,476,14300,118,1687400,11000,389400,2,si
481,8,2,477,26073,177,4614921,20000,1074921,1,no
482,7,1,478,38226,171,6536646,33000,893646,4,no
483,2,2,479,22894,221,5059574,15500,1634074,9,no
484,9,1,480,51141,179,9154239,36000,2710239,12,no
485,4,2,481,27768,211,5859048,19000,1850048,5,no
486,3,1,482,14479,63,912177,11000,219177,9,si
487,6,1,483,18615,176,3276240,12500,1076240,1,no
488,9,1,484,45520,222,10105440,36000,2113440,1,no
489,2,1,485,20451,170,3476670,15500,841670,6,no
490,5,1,486,27760,225,6246000,21500,1408500,6,no
491,6,2,487,18750,153,2868750,12500,956250,13,no
492,6,1,488,17788,170,3023960,12500,898960,10,no
493,7,1,489,38711,206,7974466,33000,1176466,7,no
494,1,1,490,34874,312,10880688,27000,2456688,12,no
495,7,2,491,38000,248,9424000,33000,1240000,13,no
496,7,2,492,43049,217,9341633,33000,2180633,3,no
497,4,2,493,24361,190,4628590,19000,1018590,11,no
498,3,2,494,13485,74,997890,11000,183890,6,si
